Post Date,Description,Debit,Credit,Balance,Card,Transaction Type,Purchase Type,Monthly
4/1/2022,Withdrawal DEBIT CARD/TEXAS HONE* TEXAS HONE rob@texashone TX Date 04/01/22 24492162091000037317420 Card 0718Merchant Category Code: 5812,46.44,,264,0718,P,Food,N
4/1/2022,Withdrawal DEBIT CARD/91280 - AUSTIN-BERGSTROM AUSTIN TX Date 04/01/22 24034542091000066143562 Card 2272Merchant Category Code: 7523,5,,310.44,3341,P,Entertainment,N
4/1/2022,Withdrawal DEBIT CARD/DD DOORDASH JERSEYMIK 855-973-1040 CA Date 04/01/22 24492152091717148335709 Card 4969Merchant Category Code: 5812,33.97,,1045.17,4969,P,Food,N
4/1/2022,Uncollected Fee/Due since 03/31/22 - Courtesy Pay-Dbt,34,,1120.17,NA,B,Fee,N
4/1/2022,Withdrawal ACH Financial Pacifi/TYPE: LEASE PYMT ID: 9118771358 CO: Financial Pacifi,524.83,,315.44,0001,B,Rent,Y
4/1/2022,Withdrawal ACH NAVIENT/TYPE: NAVI DEBIT ID: 3520974271 DATA: LSC/F ------ CO: NAVIENT,204.9,,840.27,0001,B,Loan,Y
4/1/2022,Withdrawal POS #209115827901/POS THE HOME DEPOT 6570 1200 HOME DEPOT BLVD SUNSET VALLEY TX Card 2675Merchant Category Code: 5200,41.03,,1079.14,2675,B,Supplies,N
4/2/2022,Withdrawal DEBIT CARD/LOC CITIZENS*305975116 401-2825259 CT Date 04/01/22 24638572091016036665432 Card 4969Merchant Category Code: 6012,63.76,,200.24,4969,B,Credit Card,Y
4/3/2022,Withdrawal POS #209300464700/POS 7-ELEVEN 105 East Stassney Austin TX Card 2675 Merchant Category Code: 5542,27.04,,-95.3,2675,B,Gas,N
4/3/2022,Withdrawal POS #209300454812/POS 7-ELEVEN 105 East Stassney Austin TX Card 2675 Merchant Category Code: 5542,100,,-68.26,2675,B,Gas,N
4/3/2022,Withdrawal Bill Payment #209323150933/BP TDS LANDFILL 800-3758375 TX Card 2675 Merchant Category Code: 4900,168.5,,31.74,2675,B,Professional Services,N
4/3/2022,Withdrawal POS #209314250364/POS O'REILLY AUTO PARTS 2076 AUSTIN TX Card 2675 Merchant Category Code: 5533,7.03,,-102.33,2675,B,Auto Maintenance,N
4/4/2022,Deposit ACH Ambetter/TYPE: HEALTH INS ID: A113580784 CO: Ambetter,,608.3,505.97,NA,B,Deposit,N
4/4/2022,Check 2489 Tracer 813000000578047,1000,,-1471.08,NA,B,Labor,N
4/4/2022,Withdrawal ACH BKAMERICA/TYPE: IC PAYMENT ID: 1409936115 CO: BKAMERICA,877.05,,-471.08,0001,B,Credit Card,Y
4/4/2022,Withdrawal ACH CAPITAL ONE/TYPE: MOBILE PMT ID: 9279744980 CO: CAPITAL ONE,100,,405.97,0001,B,Credit Card,Y
4/5/2022,"Deposit Bulk/Checks 6,495.00 Check Count 1 Deposit Number 0000025",,6495,5851.79,NA,B,Deposit,N
4/5/2022,Deposit ACH INTUIT 87289845/TYPE: DEPOSIT ID: 9215986202 CO: INTUIT 87289845,,1190.75,557.77,NA,B,Deposit,N
4/5/2022,Deposit ACH Ternion Growth P/TYPE: SIGONFILE ID: 9000830338 DATA: 805-680-2004 CO: Ternion Growth P,,497.95,-632.98,NA,B,Deposit,N
4/5/2022,Deposit ACH Ternion Growth P/TYPE: SIGONFILE ID: 9000830338 DATA: 805-680-2004 CO: Ternion Growth P,,497.95,-1130.93,NA,B,Deposit,N
4/5/2022,Check 2499 Tracer 813100000431773,3478,,-1687.26,NA,B,Labor,N
4/5/2022,Check 2498 Tracer 813100000431779,2620,,1790.74,NA,B,Labor,N
4/5/2022,Withdrawal POS #209519728337/POS WALGREENS STORE 905 CRYST LEANDER TX Card 4969 Merchant Category Code: 5912,30.06,,4413.73,4969,P,Groceries,N
4/5/2022,Check 2496 Tracer 813100000173001,1408,,4443.79,NA,B,Labor,N
4/5/2022,Withdrawal ACH City of Austin T/TYPE: PAYMENT ID: 5746000085 CO: City of Austin T,132.78,,362.12,NA,B,Utilities,Y
4/5/2022,Withdrawal DEBIT CARD/AUSTIN RENT WAY AUSTIN TX Date 04/04/22 24755422095730956245741 Card 2675Merchant Category Code: 7394,157.8,,-1628.88,2675,B,Supplies,N
4/5/2022,Withdrawal ACH FARMERS INS EXCH/TYPE: INSPAYMENT ID: 2432215866 DATA: BILL PAYMENT CO: FARMERS INS EXCH,1005.33,,-643.21,NA,B,Auto Insurance,Y
4/5/2022,Recurring Withdrawal DEBIT CARD/APPLE.COM/BILL 866-712-7753 CA Date 04/05/22 24692162095100995757411 Card 2272Merchant Category Code: 5735,2.99,,4410.74,3341,P,Software,Y
4/5/2022,Withdrawal ACH INTUIT 50156395/TYPE: TRAN FEE ID: 9215986202 CO: INTUIT 50156395,18.33,,539.44,NA,B,Software,Y
4/5/2022,Withdrawal ACH AMERICAN GEN LIF/TYPE: INS PAYMT ID: 4250598210 CO: AMERICAN GEN LIF,44.54,,494.9,NA,P,Life Insurance,Y
4/6/2022,"Deposit Bulk/Checks 1,995.13 Check Count 3 Deposit Number 0000013",,1995.13,251.73,NA,B,Deposit,N
4/6/2022,Withdrawal DEBIT CARD/CHEVRON 0155648 AUSTIN TX Date 04/06/22 24692162096100776901971 Card 2675Merchant Category Code: 5542,2.57,,167.84,2675,B,Gas,N
4/6/2022,Withdrawal DEBIT CARD/RANDALLS #3145 LEANDER TX Date 04/05/22 24231682096837001312103 Card 4969Merchant Category Code: 5411,81.32,,170.41,4969,P,Groceries,N
4/6/2022,Withdrawal DEBIT CARD/LAKELINE XPRESS MART CEDAR PARK TX Date 04/05/22 24137462096001018900937 Card 2272Merchant Category Code: 5541,11.14,,-1698.4,3341,P,Food,N
4/6/2022,Withdrawal DEBIT CARD/CARENOW-CEDAR PARK CEDAR PARK TX Date 04/05/22 24761972095286652300112 Card 4969Merchant Category Code: 8011,45,,-1743.4,4969,P,Medical,N
4/7/2022,Check 2495 Tracer 813300000236001,892.5,,-1135.1,NA,B,Labor,N
4/7/2022,Withdrawal Courtesy Pay fee,34,,-242.6,NA,B,Fee,N
4/7/2022,Withdrawal POS #209711615634/POS RANDALLS #2485 AUSTIN TX Card 2675 Merchant Category Code: 5411,10.49,,-208.6,2675,P,Groceries,N
4/7/2022,Withdrawal DEBIT CARD/CITY OF CEDAR PARK 512-4015000 TX Date 04/06/22 24755422096640965422489 Card 0001Merchant Category Code: 4900,259.37,,-131.53,0001,P,Utilities,Y
4/7/2022,Withdrawal ACH AMERICAN GEN LIF/TYPE: INS PAYMT ID: 4250598210 CO: AMERICAN GEN LIF,60.11,,-191.64,NA,P,Life Insurance,Y
4/7/2022,Withdrawal DEBIT CARD/TXTAG 888 468 9824 888-468-9824 TX Date 04/06/22 24055232096762956104551 Card 2272Merchant Category Code: 9399,40,,127.84,3341,B,Auto Maintenance,N
4/7/2022,Withdrawal POS #209745482001/POS NST THE HOME DEPOT 002420 1200 HOME DEPOT BLVD SUNSET VALLEY TX Card 2675Merchant Category Code: 5200,6.47,,-198.11,2675,B,Supplies,N
4/8/2022,Withdrawal POS #209800970458/POS 7-ELEVEN 6111 Bee Cave Rd Austin TX Card 0718 Merchant Category Code: 5542,10.85,,-1438.17,0718,B,Gas,N
4/8/2022,Withdrawal POS #318988/POS STAR STOP 36 7510 N MOPAC EXPRESSWAY AUSTIN TX Card 2675Merchant Category Code: 5542,125,,-1427.32,2675,B,Gas,N
4/8/2022,Withdrawal DEBIT CARD/POPEYES 11676 / 308 AUSTIN TX Date 04/07/22 24231682098400000108945 Card 2675Merchant Category Code: 5814,28.22,,-1238.32,2675,P,Food,N
4/8/2022,Withdrawal DEBIT CARD/THE HOME DEPOT #0509 AUSTIN TX Date 04/07/22 24943012098010191447801 Card 2675Merchant Category Code: 5200,50,,-1488.17,2675,B,Supplies,N
4/8/2022,Withdrawal DEBIT CARD/THE CROMEENS LAW FIRM HOUSTON TX Date 04/07/22 24559302097900010277374 Card 2272Merchant Category Code: 8111,75,,-1210.1,3341,B,Professional Services,N
4/8/2022,Withdrawal DEBIT CARD/WHITTLESEY LANDSCAPE-NAB ROUND ROCK TX Date 04/07/22 24801972098400784000602 Card 2675Merchant Category Code: 1740,64,,-1302.32,2675,B,Professional Services,N
4/9/2022,Recurring Withdrawal Bill Payment - #209920700774/BP ADOBE ACROPRO SUBS 408-536-6000 CA Card 0001 Merchant Category Code: 5734,16.23,,-1650,0001,B,Software,Y
4/9/2022,Withdrawal DEBIT CARD/TXTAG 888 468 9824 888-468-9824 TX Date 04/08/22 24055232098762376108404 Card 2272Merchant Category Code: 9399,40,,-1528.17,3341,B,Auto Maintenance,Y
4/9/2022,Withdrawal DEBIT CARD/WHITTLESEY LANDSCAPE-NAB ROUND ROCK TX Date 04/08/22 24801972099400785000022 Card 2675Merchant Category Code: 1740,52.8,,-1580.97,2675,B,Professional Services,N
4/9/2022,Withdrawal DEBIT CARD/WHITTLESEY LANDSCAPE-NAB ROUND ROCK TX Date 04/08/22 24801972099400785000634 Card 2675Merchant Category Code: 1740,52.8,,-1633.77,2675,B,Professional Services,N
4/11/2022,Withdrawal ACH BCBS HEALTH HPS/TYPE: 8007928595 ID: 1361236610 CO: BCBS HEALTH HPS,174.2,,2290.34,NA,B,Health Insurance,Y
4/11/2022,Deposit ACH INTUIT 13666035/TYPE: DEPOSIT ID: 9215986202 CO: INTUIT 13666035,,4259.87,2609.87,NA,B,Deposit,N
4/11/2022,Withdrawal ACH INTUIT 76641435/TYPE: TRAN FEE ID: 9215986202 CO: INTUIT 76641435,145.33,,2464.54,NA,B,Software,Y
4/11/2022,"Withdrawal Transfer/To HERNANDEZ,MARTHA 331014 Loan 02",447.78,,1842.56,0001,B,Loan,Y
4/12/2022,"Deposit Bulk/Checks 10,425.56 Check Count 2 Deposit Number 0000011",,10425.56,13263,NA,B,Deposit,N
4/12/2022,"Deposit/Bill.com, LLC Visa Direct CA Date 04/12/22 0 2102162286 2 5734 Card 0001Merchant Category Code: 5734",,2048.88,2837.44,NA,B,Deposit,N
4/12/2022,Check 2491 Tracer 813800000507259,1442.5,,3222.2,NA,B,Labor,N
4/12/2022,Check 2490 Tracer 813800000507258,3000,,4664.7,NA,B,Labor,N
4/12/2022,Withdrawal DEBIT CARD/ROSAS CAFE & TORTILLA FTY CEDAR PARK TX Date 04/11/22 24013392102001273410887 Card 2272Merchant Category Code: 5814,29.58,,8637,3341,P,Food,N
4/12/2022,Withdrawal POS #210214746725/POS H-E-B GAS/CARWASH #265 CEDAR PARK TX Card 4969 Merchant Category Code: 5542,56.42,,8666.58,4969,B,Gas,N
4/12/2022,Check 2493 Tracer 813800000192001,2050,,8753,NA,B,Labor,N
4/12/2022,Withdrawal Cash,960,,10803,NA,B,Withdrawal,N
4/12/2022,Withdrawal Cash,1500,,11763,NA,B,Withdrawal,N
4/12/2022,Uncollected Fee/Due since 04/09/22 - Overdrawn Debit,34,,788.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/09/22 - Overdrawn Debit,34,,822.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/09/22 - Overdrawn Debit,34,,856.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/09/22 - Overdrawn Debit,34,,890.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/08/22 - Overdrawn Debit,34,,924.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/08/22 - Courtesy Pay-Dbt,34,,958.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/08/22 - Courtesy Pay-Dbt,34,,992.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/08/22 - Courtesy Pay-Dbt,34,,1026.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/08/22 - Courtesy Pay-Dbt,34,,1060.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/08/22 - Courtesy Pay-Dbt,34,,1094.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/07/22 - UNPAIDNSF,34,,1128.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/07/22 - UNPAIDNSF,34,,1162.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/07/22 - UNPAIDNSF,34,,1196.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/07/22 - Courtesy Pay-Dbt,34,,1230.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/07/22 - Courtesy Pay-Dbt,34,,1264.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/07/22 - Courtesy Pay-ACH,34,,1298.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/07/22 - Courtesy Pay-Dbt,34,,1332.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/07/22 - Courtesy Pay-Dbt,34,,1366.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/06/22 - Courtesy Pay-Dbt,34,,1400.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/06/22 - Courtesy Pay-Dbt,34,,1434.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/06/22 - Courtesy Pay-Dbt,34,,1468.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/06/22 - Courtesy Pay-Dbt,34,,1502.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/05/22 - UNPAIDNSF,34,,1536.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/05/22 - Courtesy Pay-Ck,34,,1570.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/05/22 - Courtesy Pay-ACH,34,,1604.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/05/22 - Courtesy Pay-Dbt,34,,1638.56,NA,B,Fee,N
